approach,snapshot_index,local_id,observation_id,decision,from_snapshot,from_local_id,from_observation_id,overlap_size,jaccard,prospective_stability,retrospective_stability,candidate_parent_local_ids,candidate_parent_observation_ids
overlap,7,6,OVL-C0707,inherited,6,5,OVL-C0606,50,0.862069,0.909091,0.943396,5;10;1,OVL-C0606;OVL-C0611;OVL-C0602
overlap,7,7,OVL-C0708,inherited,6,7,OVL-C0608,43,0.796296,0.895833,0.877551,7;11;3,OVL-C0608;OVL-C0612;OVL-C0604
overlap,7,8,OVL-C0709,inherited,6,8,OVL-C0609,36,0.610169,0.750000,0.765957,8;2;10;4;0,OVL-C0609;OVL-C0603;OVL-C0611;OVL-C0605;OVL-C0601
overlap,7,9,OVL-C0710,inherited,6,10,OVL-C0611,20,0.689655,0.833333,0.800000,10;6;9;5,OVL-C0611;OVL-C0607;OVL-C0610;OVL-C0606
overlap,7,10,OVL-C0711,new,,,,,,,,6;0;8;3,OVL-C0607;OVL-C0601;OVL-C0609;OVL-C0604
overlap,7,11,OVL-C0712,new,,,,,,,,0;3,OVL-C0601;OVL-C0604
overlap,7,12,OVL-C0713,inherited,6,13,OVL-C0614,4,1.000000,1.000000,1.000000,13,OVL-C0614
overlap,8,0,OVL-C0801,inherited,7,2,OVL-C0703,65,0.496183,0.747126,0.596330,2;0;5;10;8;1;4,OVL-C0703;OVL-C0701;OVL-C0706;OVL-C0711;OVL-C0709;OVL-C0702;OVL-C0705
overlap,8,1,OVL-C0802,inherited,7,1,OVL-C0702,89,0.754237,0.908163,0.816514,1;0;2;8,OVL-C0702;OVL-C0701;OVL-C0703;OVL-C0709
overlap,8,2,OVL-C0803,inherited,7,3,OVL-C0704,77,0.865169,0.927711,0.927711,3;4;0,OVL-C0704;OVL-C0705;OVL-C0701
overlap,8,3,OVL-C0804,new,,,,,,,,0;4;2,OVL-C0701;OVL-C0705;OVL-C0703
overlap,8,4,OVL-C0805,inherited,7,5,OVL-C0706,52,0.722222,0.787879,0.896552,5;1;10;2;0,OVL-C0706;OVL-C0702;OVL-C0711;OVL-C0703;OVL-C0701
overlap,8,5,OVL-C0806,inherited,7,4,OVL-C0705,40,0.470588,0.526316,0.816327,4;8;10;6;0,OVL-C0705;OVL-C0709;OVL-C0711;OVL-C0707;OVL-C0701
overlap,8,6,OVL-C0807,inherited,7,6,OVL-C0707,47,0.854545,0.886792,0.959184,6;9,OVL-C0707;OVL-C0710
