from_snapshot,to_snapshot,source_observation_id,target_observation_id,source_identity_group,target_identity_group,overlap_size,source_overlap_pct,target_overlap_pct,jaccard
10,11,OVL-C1002,OVL-C1103,dead-OVL-C0002,c05,1,0.012821,0.012658,0.006410
10,11,OVL-C1002,OVL-C1104,dead-OVL-C0002,dead-OVL-C0002,49,0.628205,0.636364,0.462264
10,11,OVL-C1002,OVL-C1107,dead-OVL-C0002,dead-OVL-C1107,2,0.025641,0.041667,0.016129
10,11,OVL-C1002,OVL-C1109,dead-OVL-C0002,c08,2,0.025641,0.048780,0.017094
10,11,OVL-C1002,OVL-C1110,dead-OVL-C0002,c07,2,0.025641,0.064516,0.018692
10,11,OVL-C1002,OVL-C1112,dead-OVL-C0002,dead-OVL-C0712,5,0.064103,0.200000,0.051020
10,11,OVL-C1003,OVL-C1102,c05,dead-OVL-C1001,2,0.026667,0.020833,0.011834
10,11,OVL-C1003,OVL-C1103,c05,c05,68,0.906667,0.860759,0.790698
10,11,OVL-C1004,OVL-C1101,dead-OVL-C0706,dead-OVL-C1101,21,0.328125,0.187500,0.135484
10,11,OVL-C1004,OVL-C1102,dead-OVL-C0706,dead-OVL-C1001,8,0.125000,0.083333,0.052632
10,11,OVL-C1004,OVL-C1108,dead-OVL-C0706,dead-OVL-C0706,33,0.515625,0.733333,0.434211
10,11,OVL-C1005,OVL-C1101,c07,dead-OVL-C1101,1,0.015873,0.008929,0.005747
10,11,OVL-C1005,OVL-C1103,c07,c05,2,0.031746,0.025316,0.014286
10,11,OVL-C1005,OVL-C1104,c07,dead-OVL-C0002,4,0.063492,0.051948,0.029412
10,11,OVL-C1005,OVL-C1105,c07,dead-OVL-C0510,19,0.301587,0.351852,0.193878
10,11,OVL-C1005,OVL-C1106,c07,c02,1,0.015873,0.019231,0.008772
10,11,OVL-C1005,OVL-C1108,c07,dead-OVL-C0706,1,0.015873,0.022222,0.009346
10,11,OVL-C1005,OVL-C1109,c07,c08,1,0.015873,0.024390,0.009709
10,11,OVL-C1005,OVL-C1110,c07,c07,29,0.460317,0.935484,0.446154
10,11,OVL-C1006,OVL-C1101,dead-OVL-C1006,dead-OVL-C1101,27,0.509434,0.241071,0.195652
10,11,OVL-C1006,OVL-C1103,dead-OVL-C1006,c05,1,0.018868,0.012658,0.007634
10,11,OVL-C1006,OVL-C1104,dead-OVL-C1006,dead-OVL-C0002,1,0.018868,0.012987,0.007752
10,11,OVL-C1006,OVL-C1105,dead-OVL-C1006,dead-OVL-C0510,1,0.018868,0.018519,0.009434
10,11,OVL-C1006,OVL-C1107,dead-OVL-C1006,dead-OVL-C1107,22,0.415094,0.458333,0.278481
10,11,OVL-C1006,OVL-C1109,dead-OVL-C1006,c08,1,0.018868,0.024390,0.010753
10,11,OVL-C1007,OVL-C1101,dead-OVL-C1007,dead-OVL-C1101,41,0.820000,0.366071,0.338843
10,11,OVL-C1007,OVL-C1104,dead-OVL-C1007,dead-OVL-C0002,3,0.060000,0.038961,0.024194
10,11,OVL-C1007,OVL-C1106,dead-OVL-C1007,c02,3,0.060000,0.057692,0.030303
10,11,OVL-C1007,OVL-C1107,dead-OVL-C1007,dead-OVL-C1107,1,0.020000,0.020833,0.010309
10,11,OVL-C1008,OVL-C1101,c02,dead-OVL-C1101,1,0.023256,0.008929,0.006494
10,11,OVL-C1008,OVL-C1102,c02,dead-OVL-C1001,2,0.046512,0.020833,0.014599
10,11,OVL-C1008,OVL-C1106,c02,c02,38,0.883721,0.730769,0.666667
10,11,OVL-C1009,OVL-C1105,c08,dead-OVL-C0510,1,0.027778,0.018519,0.011236
10,11,OVL-C1009,OVL-C1106,c08,c02,3,0.083333,0.057692,0.035294
10,11,OVL-C1009,OVL-C1109,c08,c08,32,0.888889,0.780488,0.711111
10,11,OVL-C1010,OVL-C1103,dead-OVL-C0510,c05,3,0.088235,0.037975,0.027273
10,11,OVL-C1010,OVL-C1104,dead-OVL-C0510,dead-OVL-C0002,1,0.029412,0.012987,0.009091
10,11,OVL-C1010,OVL-C1105,dead-OVL-C0510,dead-OVL-C0510,27,0.794118,0.500000,0.442623
10,11,OVL-C1010,OVL-C1109,dead-OVL-C0510,c08,1,0.029412,0.024390,0.013514
10,11,OVL-C1011,OVL-C1102,dead-OVL-C1011,dead-OVL-C1001,14,0.482759,0.145833,0.126126
10,11,OVL-C1011,OVL-C1104,dead-OVL-C1011,dead-OVL-C0002,8,0.275862,0.103896,0.081633
10,11,OVL-C1011,OVL-C1105,dead-OVL-C1011,dead-OVL-C0510,1,0.034483,0.018519,0.012195
10,11,OVL-C1011,OVL-C1107,dead-OVL-C1011,dead-OVL-C1107,4,0.137931,0.083333,0.054795
10,11,OVL-C1012,OVL-C1103,c12,c05,2,0.068966,0.025316,0.018868
10,11,OVL-C1012,OVL-C1111,c12,c12,25,0.862069,0.925926,0.806452
10,11,OVL-C1013,OVL-C1102,dead-OVL-C1013,dead-OVL-C1001,5,0.192308,0.052083,0.042735
