approach,event_id,event_type,from_snapshot,to_snapshot,source_local_ids,source_observation_ids,target_local_ids,target_observation_ids,source_count,target_count,overlap_sizes,jaccard_scores,prospective_stabilities,retrospective_stabilities,relation_qualifiers
overlap,OVL-E0165,continuation,10,11,15,OVL-C1016,13,OVL-C1114,1,1,3,0.750000,1.000000,0.750000,both
overlap,OVL-E0166,split,11,12,1,OVL-C1102,3;13,OVL-C1204;OVL-C1214,1,2,62;8,0.558559;0.082474,0.645833;0.083333,0.805195;0.888889,both;retrospective
overlap,OVL-E0167,continuation,11,12,0,OVL-C1101,0,OVL-C1201,1,1,77,0.626016,0.687500,0.875000,both
overlap,OVL-E0168,continuation,11,12,2,OVL-C1103,1,OVL-C1202,1,1,72,0.782609,0.911392,0.847059,both
overlap,OVL-E0169,continuation,11,12,3,OVL-C1104,2,OVL-C1203,1,1,62,0.659574,0.805195,0.784810,both
overlap,OVL-E0170,continuation,11,12,5,OVL-C1106,4,OVL-C1205,1,1,49,0.690141,0.942308,0.720588,both
overlap,OVL-E0171,continuation,11,12,7,OVL-C1108,5,OVL-C1206,1,1,26,0.309524,0.577778,0.400000,both
overlap,OVL-E0172,continuation,11,12,6,OVL-C1107,6,OVL-C1207,1,1,36,0.545455,0.750000,0.666667,both
overlap,OVL-E0173,continuation,11,12,9,OVL-C1110,7,OVL-C1208,1,1,28,0.518519,0.903226,0.549020,both
overlap,OVL-E0174,continuation,11,12,8,OVL-C1109,8,OVL-C1209,1,1,38,0.826087,0.926829,0.883721,both
overlap,OVL-E0175,continuation,11,12,4,OVL-C1105,9,OVL-C1210,1,1,28,0.518519,0.518519,1.000000,both
overlap,OVL-E0176,continuation,11,12,10,OVL-C1111,10,OVL-C1211,1,1,24,0.774194,0.888889,0.857143,both
overlap,OVL-E0177,continuation,11,12,11,OVL-C1112,11,OVL-C1212,1,1,20,0.714286,0.800000,0.869565,both
overlap,OVL-E0178,continuation,11,12,12,OVL-C1113,12,OVL-C1213,1,1,17,0.772727,0.944444,0.809524,both
overlap,OVL-E0179,continuation,11,12,13,OVL-C1114,14,OVL-C1215,1,1,4,0.800000,1.000000,0.800000,both
overlap,OVL-E0180,split,12,13,1,OVL-C1202,2;14,OVL-C1303;OVL-C1315,1,2,74;3,0.747475;0.035294,0.870588;0.035294,0.840909;1.000000,both;retrospective
